record_id,date,year_month,day_name,machine_id,machine_model,city,payment_method,total_liters_sold,total_gross_sales_mxn,cash_received_mxn,change_given_mxn,estimated_tickets,avg_ticket_mxn,tank_capacity_per_product_l,reorder_point_l,stockout_flag,stockout_minutes_total,service_status,temperature_cdmx_c,is_weekend,notes,data_quality_issue_flag,intentional_issue_type,suggested_outlier_treatment,liters_des,revenue_des_mxn,closing_inventory_des_l,liters_det_ropa,revenue_det_ropa_mxn,closing_inventory_det_ropa_l,liters_det_blanca,revenue_det_blanca_mxn,closing_inventory_det_blanca_l,liters_multi,revenue_multi_mxn,closing_inventory_multi_l,liters_suav,revenue_suav_mxn,closing_inventory_suav_l,liters_lavat,revenue_lavat_mxn,closing_inventory_lavat_l,liters_det_oscura,revenue_det_oscura_mxn,closing_inventory_det_oscura_l,cash_net_mxn,cash_difference_mxn,expected_revenue_des_mxn,expected_revenue_det_ropa_mxn,expected_revenue_det_blanca_mxn,expected_revenue_multi_mxn,expected_revenue_suav_mxn,expected_revenue_lavat_mxn,expected_revenue_det_oscura_mxn,expected_total_gross_sales_mxn,sales_calculation_difference_mxn,analysis_month,total_liters_sold_iqr_outlier,total_gross_sales_mxn_iqr_outlier,cash_received_mxn_iqr_outlier,change_given_mxn_iqr_outlier,estimated_tickets_iqr_outlier,avg_ticket_mxn_iqr_outlier,stockout_minutes_total_iqr_outlier,temperature_cdmx_c_iqr_outlier,total_iqr_outlier_flags,drop_reason,drop_flag,outlier_treatment_decision,total_gross_sales_mxn_treated,total_liters_sold_treated
R000062,2025-03-03,2025-03,Monday,CDMX-VM-001,GenkiClean Vending 7x100L,CDMX,Efectivo,36,810,810,0,20,40.5,100,20,False,0,Operational,21.0,False,,False,,No issue,4,120,38,6,120,88,5,125,95,8,120,92,4,100,83,6.0,150,79,3,75,73,810,0,120,120,125,120,100,150.0,75,810.0,0.0,2025-03,False,False,False,False,False,False,False,False,0,,False,Normal,810,36
R000063,2025-03-04,2025-03,Tuesday,CDMX-VM-001,GenkiClean Vending 7x100L,CDMX,Efectivo,31,685,685,0,20,34.25,100,20,False,0,Operational,18.1,False,,False,,No issue,3,90,35,7,140,81,3,75,92,7,105,85,4,100,79,4.0,100,75,3,75,70,685,0,90,140,75,105,100,100.0,75,685.0,0.0,2025-03,False,False,False,False,False,False,False,False,0,,False,Normal,685,31
R000064,2025-03-05,2025-03,Wednesday,CDMX-VM-001,GenkiClean Vending 7x100L,CDMX,Efectivo,35,770,775,5,14,55.0,100,20,False,0,Operational,14.7,False,,False,,No issue,3,90,32,8,160,73,4,100,88,8,120,77,4,100,75,5.0,125,70,3,75,67,770,0,90,160,100,120,100,125.0,75,770.0,0.0,2025-03,False,False,False,False,False,False,False,False,0,,False,Normal,770,35
R000065,2025-03-06,2025-03,Thursday,CDMX-VM-001,GenkiClean Vending 7x100L,CDMX,Efectivo,29,620,620,0,13,47.69,100,20,False,0,Operational,27.3,False,,False,,No issue,2,60,30,7,140,66,3,75,85,8,120,69,3,75,72,4.0,100,66,2,50,65,620,0,60,140,75,120,75,100.0,50,620.0,0.0,2025-03,False,False,False,False,False,False,False,False,0,,False,Normal,620,29
R000066,2025-03-07,2025-03,Friday,CDMX-VM-001,GenkiClean Vending 7x100L,CDMX,Efectivo,31,680,680,0,13,52.31,100,20,False,0,Operational,15.4,False,,False,,No issue,2,60,28,7,140,59,3,75,82,7,105,62,5,125,67,4.0,100,62,3,75,62,680,0,60,140,75,105,125,100.0,75,680.0,0.0,2025-03,False,False,False,False,False,False,False,False,0,,False,Normal,680,31
R000067,2025-03-08,2025-03,Saturday,CDMX-VM-001,GenkiClean Vending 7x100L,CDMX,Efectivo,40,870,870,0,25,34.8,100,20,False,0,Operational,14.6,True,,False,,No issue,4,120,24,8,160,51,5,125,77,11,165,51,4,100,63,5.0,125,57,3,75,59,870,0,120,160,125,165,100,125.0,75,870.0,0.0,2025-03,False,False,False,False,False,False,False,False,0,,False,Normal,870,40
R000068,2025-03-09,2025-03,Sunday,CDMX-VM-001,GenkiClean Vending 7x100L,CDMX,Efectivo,39,875,875,0,23,38.04,100,20,False,0,Operational,13.3,True,,False,,No issue,4,120,96,6,120,45,5,125,72,9,135,42,6,150,57,5.0,125,52,4,100,55,875,0,120,120,125,135,150,125.0,100,875.0,0.0,2025-03,False,False,False,False,False,False,False,False,0,,False,Normal,875,39
R000069,2025-03-10,2025-03,Monday,CDMX-VM-001,GenkiClean Vending 7x100L,CDMX,Efectivo,30,645,645,0,15,43.0,100,20,False,0,Operational,14.9,False,,False,,No issue,2,60,94,5,100,40,3,75,69,9,135,33,3,75,54,5.0,125,47,3,75,52,645,0,60,100,75,135,75,125.0,75,645.0,0.0,2025-03,False,False,False,False,False,False,False,False,0,,False,Normal,645,30
R000070,2025-03-11,2025-03,Tuesday,CDMX-VM-001,GenkiClean Vending 7x100L,CDMX,Efectivo,37,815,865,50,30,27.17,100,20,False,0,Operational,12.3,False,,False,,No issue,3,90,91,7,140,33,4,100,65,9,135,24,5,125,49,6.0,150,41,3,75,49,815,0,90,140,100,135,125,150.0,75,815.0,0.0,2025-03,False,False,False,False,False,False,False,False,0,,False,Normal,815,37
R000071,2025-03-12,2025-03,Wednesday,CDMX-VM-001,GenkiClean Vending 7x100L,CDMX,Efectivo,36,770,790,20,15,51.33,100,20,False,0,Operational,27.8,False,,False,,No issue,3,90,88,7,140,26,3,75,62,11,165,13,4,100,45,4.0,100,37,4,100,45,770,0,90,140,75,165,100,100.0,100,770.0,0.0,2025-03,False,False,False,False,False,False,False,False,0,,False,Normal,770,36
R000072,2025-03-13,2025-03,Thursday,CDMX-VM-001,GenkiClean Vending 7x100L,CDMX,Efectivo,29,630,630,0,20,31.5,100,20,False,0,Operational,28.5,False,,False,,No issue,2,60,86,7,140,19,4,100,58,7,105,93,3,75,42,3.0,75,34,3,75,42,630,0,60,140,100,105,75,75.0,75,630.0,0.0,2025-03,False,False,False,False,False,False,False,False,0,,False,Normal,630,29
R000073,2025-03-14,2025-03,Friday,CDMX-VM-001,GenkiClean Vending 7x100L,CDMX,Efectivo,41,900,900,0,34,26.47,100,20,False,0,Operational,16.7,False,,False,,No issue,4,120,82,7,140,93,5,125,53,11,165,82,5,125,37,6.0,150,28,3,75,39,900,0,120,140,125,165,125,150.0,75,900.0,0.0,2025-03,False,False,False,False,False,False,False,False,0,,False,Normal,900,41
R000074,2025-03-15,2025-03,Saturday,CDMX-VM-001,GenkiClean Vending 7x100L,CDMX,Efectivo,47,1020,1030,10,34,30.0,100,20,False,0,Operational,13.3,True,,False,,No issue,4,120,78,11,220,82,5,125,48,12,180,70,7,175,30,5.0,125,95,3,75,36,1020,0,120,220,125,180,175,125.0,75,1020.0,0.0,2025-03,False,False,False,False,False,False,False,False,0,,False,Normal,1020,47
R000075,2025-03-16,2025-03,Sunday,CDMX-VM-001,GenkiClean Vending 7x100L,CDMX,Efectivo,46,1010,1030,20,20,50.5,100,20,False,0,Operational,14.6,True,,False,,No issue,4,120,74,8,160,74,5,125,43,12,180,58,5,125,25,7.0,175,88,5,125,31,1010,0,120,160,125,180,125,175.0,125,1010.0,0.0,2025-03,False,False,False,False,False,False,False,False,0,,False,Normal,1010,46
R000076,2025-03-17,2025-03,Monday,CDMX-VM-001,GenkiClean Vending 7x100L,CDMX,Efectivo,36,795,795,0,27,29.44,100,20,False,0,Operational,23.7,False,,False,,No issue,4,120,70,7,140,67,4,100,39,9,135,49,4,100,21,5.0,125,83,3,75,28,795,0,120,140,100,135,100,125.0,75,795.0,0.0,2025-03,False,False,False,False,False,False,False,False,0,,False,Normal,795,36
R000077,2025-03-18,2025-03,Tuesday,CDMX-VM-001,GenkiClean Vending 7x100L,CDMX,Efectivo,38,850,870,20,20,42.5,100,20,False,0,Operational,12.1,False,,False,,No issue,4,120,66,8,160,59,4,100,35,8,120,41,5,125,95,5.0,125,78,4,100,24,850,0,120,160,100,120,125,125.0,100,850.0,0.0,2025-03,False,False,False,False,False,False,False,False,0,,False,Normal,850,38
R000078,2025-03-19,2025-03,Wednesday,CDMX-VM-001,GenkiClean Vending 7x100L,CDMX,Efectivo,30,660,710,50,12,55.0,100,20,False,0,Operational,12.3,False,,False,,No issue,3,90,63,5,100,54,3,75,32,8,120,33,4,100,91,4.0,100,74,3,75,21,660,0,90,100,75,120,100,100.0,75,660.0,0.0,2025-03,False,False,False,False,False,False,False,False,0,,False,Normal,660,30
R000079,2025-03-20,2025-03,Thursday,CDMX-VM-001,GenkiClean Vending 7x100L,CDMX,Efectivo,25,555,560,5,13,42.69,100,20,False,0,Operational,24.7,False,,False,,No issue,3,90,60,5,100,49,3,75,29,6,90,27,3,75,88,3.0,75,71,2,50,98,555,0,90,100,75,90,75,75.0,50,555.0,0.0,2025-03,False,False,False,False,False,False,False,False,0,,False,Normal,555,25
R000080,2025-03-21,2025-03,Friday,CDMX-VM-001,GenkiClean Vending 7x100L,CDMX,Efectivo,36,800,800,0,24,33.33,100,20,False,0,Operational,18.9,False,,False,,No issue,3,90,57,9,180,40,4,100,25,7,105,20,4,100,84,6.0,150,65,3,75,95,800,0,90,180,100,105,100,150.0,75,800.0,0.0,2025-03,False,False,False,False,False,False,False,False,0,,False,Normal,800,36
R000081,2025-03-22,2025-03,Saturday,CDMX-VM-001,GenkiClean Vending 7x100L,CDMX,Efectivo,36,810,830,20,21,38.57,100,20,False,0,Operational,25.3,True,,False,,No issue,4,120,53,6,120,34,5,125,20,8,120,92,5,125,79,5.0,125,60,3,75,92,810,0,120,120,125,120,125,125.0,75,810.0,0.0,2025-03,False,False,False,False,False,False,False,False,0,,False,Normal,810,36
R000082,2025-03-23,2025-03,Sunday,CDMX-VM-001,GenkiClean Vending 7x100L,CDMX,Efectivo,41,930,930,0,20,46.5,100,20,False,0,Operational,16.9,True,,False,,No issue,5,150,48,8,160,26,4,100,96,8,120,84,6,150,73,6.0,150,54,4,100,88,930,0,150,160,100,120,150,150.0,100,930.0,0.0,2025-03,False,False,False,False,False,False,False,False,0,,False,Normal,930,41
R000083,2025-03-24,2025-03,Monday,CDMX-VM-001,GenkiClean Vending 7x100L,CDMX,Efectivo,26,580,580,0,19,30.53,100,20,False,0,Operational,27.8,False,,False,,No issue,3,90,45,5,100,95,3,75,93,6,90,78,2,50,71,5.0,125,49,2,50,86,580,0,90,100,75,90,50,125.0,50,580.0,0.0,2025-03,False,False,False,False,False,False,False,False,0,,False,Normal,580,26
R000084,2025-03-25,2025-03,Tuesday,CDMX-VM-001,GenkiClean Vending 7x100L,CDMX,Efectivo,26,580,580,0,13,44.62,100,20,False,0,Operational,27.4,False,,False,,No issue,3,90,42,5,100,90,3,75,90,6,90,72,3,75,68,3.0,75,46,3,75,83,580,0,90,100,75,90,75,75.0,75,580.0,0.0,2025-03,False,False,False,False,False,False,False,False,0,,False,Normal,580,26
R000085,2025-03-26,2025-03,Wednesday,CDMX-VM-001,GenkiClean Vending 7x100L,CDMX,Efectivo,35,785,790,5,17,46.18,100,20,False,0,Operational,21.0,False,,False,,No issue,3,90,39,7,140,83,5,125,85,7,105,65,4,100,64,6.0,150,40,3,75,80,785,0,90,140,125,105,100,150.0,75,785.0,0.0,2025-03,False,False,False,False,False,False,False,False,0,,False,Normal,785,35
R000086,2025-03-27,2025-03,Thursday,CDMX-VM-001,GenkiClean Vending 7x100L,CDMX,Efectivo,34,750,770,20,17,44.12,100,20,False,0,Operational,24.2,False,,False,,No issue,4,120,35,6,120,77,3,75,82,9,135,56,4,100,60,6.0,150,34,2,50,78,750,0,120,120,75,135,100,150.0,50,750.0,0.0,2025-03,False,False,False,False,False,False,False,False,0,,False,Normal,750,34
R000087,2025-03-28,2025-03,Friday,CDMX-VM-001,GenkiClean Vending 7x100L,CDMX,Efectivo,39,890,910,20,19,46.84,100,20,False,0,Operational,11.6,False,,False,,No issue,5,150,30,6,120,71,5,125,77,8,120,48,5,125,55,7.0,175,27,3,75,75,890,0,150,120,125,120,125,175.0,75,890.0,0.0,2025-03,False,False,False,False,False,False,False,False,0,,False,Normal,890,39
R000088,2025-03-29,2025-03,Saturday,CDMX-VM-001,GenkiClean Vending 7x100L,CDMX,Efectivo,38,840,845,5,20,42.0,100,20,False,0,Operational,30.4,True,,False,,No issue,4,120,26,6,120,65,4,100,73,10,150,38,5,125,50,6.0,150,21,3,75,72,840,0,120,120,100,150,125,150.0,75,840.0,0.0,2025-03,False,False,False,False,False,False,False,False,0,,False,Normal,840,38
R000089,2025-03-30,2025-03,Sunday,CDMX-VM-001,GenkiClean Vending 7x100L,CDMX,Efectivo,37,810,810,0,17,47.65,100,20,False,0,Operational,26.4,True,,False,,No issue,3,90,23,8,160,57,3,75,70,9,135,29,5,125,45,6.0,150,94,3,75,69,810,0,90,160,75,135,125,150.0,75,810.0,0.0,2025-03,False,False,False,False,False,False,False,False,0,,False,Normal,810,37
R000090,2025-03-31,2025-03,Monday,CDMX-VM-001,GenkiClean Vending 7x100L,CDMX,Efectivo,24,540,590,50,15,36.0,100,20,False,0,Operational,28.6,False,,False,,No issue,2,60,21,4,80,53,3,75,67,5,75,24,4,100,41,3.0,75,91,3,75,66,540,0,60,80,75,75,100,75.0,75,540.0,0.0,2025-03,False,False,False,False,False,False,False,False,0,,False,Normal,540,24
R000091,2025-04-01,2025-04,Tuesday,CDMX-VM-001,GenkiClean Vending 7x100L,CDMX,Efectivo,40,890,890,0,23,38.7,100,20,False,0,Operational,13.6,False,,False,,No issue,4,120,96,10,200,43,5,125,62,8,120,92,5,125,36,5.0,125,86,3,75,63,890,0,120,200,125,120,125,125.0,75,890.0,0.0,2025-04,False,False,False,False,False,False,False,False,0,,False,Normal,890,40
R000092,2025-04-02,2025-04,Wednesday,CDMX-VM-001,GenkiClean Vending 7x100L,CDMX,Efectivo,37,825,825,0,18,45.83,100,20,False,0,Operational,21.9,False,,False,,No issue,4,120,92,8,160,35,4,100,58,8,120,84,5,125,31,4.0,100,82,4,100,59,825,0,120,160,100,120,125,100.0,100,825.0,0.0,2025-04,False,False,False,False,False,False,False,False,0,,False,Normal,825,37
R000093,2025-04-03,2025-04,Thursday,CDMX-VM-001,GenkiClean Vending 7x100L,CDMX,Efectivo,31,680,680,0,21,32.38,100,20,False,0,Operational,14.1,False,,False,,No issue,3,90,89,6,120,29,3,75,55,8,120,76,4,100,27,4.0,100,78,3,75,56,680,0,90,120,75,120,100,100.0,75,680.0,0.0,2025-04,False,False,False,False,False,False,False,False,0,,False,Normal,680,31
R000094,2025-04-04,2025-04,Friday,CDMX-VM-001,GenkiClean Vending 7x100L,CDMX,Efectivo,36,795,845,50,23,34.57,100,20,False,0,Operational,16.5,False,,False,,No issue,3,90,86,6,120,23,4,100,51,9,135,67,5,125,95,5.0,125,73,4,100,52,795,0,90,120,100,135,125,125.0,100,795.0,0.0,2025-04,False,False,False,False,False,False,False,False,0,,False,Normal,795,36
R000095,2025-04-05,2025-04,Saturday,CDMX-VM-001,GenkiClean Vending 7x100L,CDMX,Efectivo,38,825,845,20,15,55.0,100,20,False,0,Operational,30.1,True,,False,,No issue,3,90,83,6,120,17,4,100,47,11,165,56,4,100,91,7.0,175,66,3,75,49,825,0,90,120,100,165,100,175.0,75,825.0,0.0,2025-04,False,False,False,False,False,False,False,False,0,,False,Normal,825,38
R000096,2025-04-06,2025-04,Sunday,CDMX-VM-001,GenkiClean Vending 7x100L,CDMX,Efectivo,47,1050,1050,0,21,50.0,100,20,False,0,Operational,27.4,True,,False,,No issue,5,150,78,8,160,92,6,150,41,11,165,45,6,150,85,7.0,175,59,4,100,45,1050,0,150,160,150,165,150,175.0,100,1050.0,0.0,2025-04,False,False,False,False,False,False,False,False,0,,False,Normal,1050,47
R000097,2025-04-07,2025-04,Monday,CDMX-VM-001,GenkiClean Vending 7x100L,CDMX,Efectivo,34,755,805,50,15,50.33,100,20,False,0,Operational,11.6,False,,False,,No issue,4,120,74,7,140,85,3,75,38,8,120,37,3,75,82,6.0,150,53,3,75,42,755,0,120,140,75,120,75,150.0,75,755.0,0.0,2025-04,False,False,False,False,False,False,False,False,0,,False,Normal,755,34
R000098,2025-04-08,2025-04,Tuesday,CDMX-VM-001,GenkiClean Vending 7x100L,CDMX,Efectivo,32,715,725,10,14,51.07,100,20,False,0,Operational,24.3,False,,False,,No issue,3,90,71,6,120,79,3,75,35,7,105,30,5,125,77,5.0,125,48,3,75,39,715,0,90,120,75,105,125,125.0,75,715.0,0.0,2025-04,False,False,False,False,False,False,False,False,0,,False,Normal,715,32
R000099,2025-04-09,2025-04,Wednesday,CDMX-VM-001,GenkiClean Vending 7x100L,CDMX,Efectivo,29,625,630,5,12,52.08,100,20,False,0,Operational,26.5,False,,False,,No issue,2,60,69,6,120,73,3,75,32,8,120,22,3,75,74,4.0,100,44,3,75,36,625,0,60,120,75,120,75,100.0,75,625.0,0.0,2025-04,False,False,False,False,False,False,False,False,0,,False,Normal,625,29
R000100,2025-04-10,2025-04,Thursday,CDMX-VM-001,GenkiClean Vending 7x100L,CDMX,Efectivo,37,830,850,20,19,43.68,100,20,False,0,Operational,22.3,False,,False,,No issue,4,120,65,7,140,66,4,100,28,8,120,92,5,125,69,5.0,125,39,4,100,32,830,0,120,140,100,120,125,125.0,100,830.0,0.0,2025-04,False,False,False,False,False,False,False,False,0,,False,Normal,830,37
R000101,2025-04-11,2025-04,Friday,CDMX-VM-001,GenkiClean Vending 7x100L,CDMX,Efectivo,32,705,715,10,17,41.47,100,20,False,0,Operational,11.8,False,,False,,No issue,3,90,62,6,120,60,3,75,25,8,120,84,4,100,65,5.0,125,34,3,75,29,705,0,90,120,75,120,100,125.0,75,705.0,0.0,2025-04,False,False,False,False,False,False,False,False,0,,False,Normal,705,32
R000102,2025-04-12,2025-04,Saturday,CDMX-VM-001,GenkiClean Vending 7x100L,CDMX,Efectivo,37,825,825,0,17,48.53,100,20,False,0,Operational,15.8,True,,False,,No issue,4,120,58,6,120,54,3,75,22,9,135,75,5,125,60,6.0,150,28,4,100,25,825,0,120,120,75,135,125,150.0,100,825.0,0.0,2025-04,False,False,False,False,False,False,False,False,0,,False,Normal,825,37
R000103,2025-04-13,2025-04,Sunday,CDMX-VM-001,GenkiClean Vending 7x100L,CDMX,Efectivo,46,1030,1030,0,30,34.33,100,20,False,0,Operational,28.1,True,,False,,No issue,4,120,54,10,200,44,5,125,95,9,135,66,5,125,55,8.0,200,92,5,125,20,1030,0,120,200,125,135,125,200.0,125,1030.0,0.0,2025-04,False,False,False,False,False,False,False,False,0,,False,Normal,1030,46
R000104,2025-04-14,2025-04,Monday,CDMX-VM-001,GenkiClean Vending 7x100L,CDMX,Efectivo,38,840,860,20,25,33.6,100,20,False,0,Operational,28.1,False,,False,,No issue,3,90,51,9,180,35,4,100,91,8,120,58,6,150,49,5.0,125,87,3,75,97,840,0,90,180,100,120,150,125.0,75,840.0,0.0,2025-04,False,False,False,False,False,False,False,False,0,,False,Normal,840,38
R000105,2025-04-15,2025-04,Tuesday,CDMX-VM-001,GenkiClean Vending 7x100L,CDMX,Efectivo,35,775,795,20,16,48.44,100,20,False,0,Operational,17.8,False,,False,,No issue,3,90,48,7,140,28,3,75,88,8,120,50,5,125,44,6.0,150,81,3,75,94,775,0,90,140,75,120,125,150.0,75,775.0,0.0,2025-04,False,False,False,False,False,False,False,False,0,,False,Normal,775,35
R000106,2025-04-16,2025-04,Wednesday,CDMX-VM-001,GenkiClean Vending 7x100L,CDMX,Efectivo,33,735,785,50,27,27.22,100,20,False,0,Operational,23.3,False,,False,,No issue,4,120,44,8,160,20,3,75,85,7,105,43,4,100,40,4.0,100,77,3,75,91,735,0,120,160,75,105,100,100.0,75,735.0,0.0,2025-04,False,False,False,False,False,False,False,False,0,,False,Normal,735,33
R000107,2025-04-17,2025-04,Thursday,CDMX-VM-001,GenkiClean Vending 7x100L,CDMX,Efectivo,36,810,810,0,15,54.0,100,20,False,0,Operational,27.1,False,,False,,No issue,4,120,40,6,120,94,3,75,82,8,120,35,5,125,35,6.0,150,71,4,100,87,810,0,120,120,75,120,125,150.0,100,810.0,0.0,2025-04,False,False,False,False,False,False,False,False,0,,False,Normal,810,36
R000108,2025-04-18,2025-04,Friday,CDMX-VM-001,GenkiClean Vending 7x100L,CDMX,Efectivo,44,995,995,0,29,34.31,100,20,False,0,Operational,29.0,False,,False,,No issue,5,150,35,8,160,86,6,150,76,9,135,26,6,150,29,6.0,150,65,4,100,83,995,0,150,160,150,135,150,150.0,100,995.0,0.0,2025-04,False,False,False,False,False,False,False,False,0,,False,Normal,995,44
R000109,2025-04-19,2025-04,Saturday,CDMX-VM-001,GenkiClean Vending 7x100L,CDMX,Efectivo,48,1050,1055,5,37,28.38,100,20,False,0,Operational,20.1,True,,False,,No issue,4,120,31,10,200,76,5,125,71,12,180,88,5,125,24,8.0,200,57,4,100,79,1050,0,120,200,125,180,125,200.0,100,1050.0,0.0,2025-04,False,False,False,False,False,False,False,False,0,,False,Normal,1050,48
R000110,2025-04-20,2025-04,Sunday,CDMX-VM-001,GenkiClean Vending 7x100L,CDMX,Efectivo,44,965,965,0,30,32.17,100,20,False,0,Operational,29.6,True,,False,,No issue,4,120,27,9,180,67,4,100,67,11,165,77,5,125,95,7.0,175,50,4,100,75,965,0,120,180,100,165,125,175.0,100,965.0,0.0,2025-04,False,False,False,False,False,False,False,False,0,,False,Normal,965,44
R000111,2025-04-21,2025-04,Monday,CDMX-VM-001,GenkiClean Vending 7x100L,CDMX,Efectivo,35,785,805,20,17,46.18,100,20,False,0,Operational,25.1,False,,False,,No issue,3,90,24,7,140,60,4,100,63,7,105,70,4,100,91,7.0,175,43,3,75,72,785,0,90,140,100,105,100,175.0,75,785.0,0.0,2025-04,False,False,False,False,False,False,False,False,0,,False,Normal,785,35
R000112,2025-04-22,2025-04,Tuesday,CDMX-VM-001,GenkiClean Vending 7x100L,CDMX,Efectivo,33,720,720,0,15,48.0,100,20,False,0,Operational,14.1,False,,False,,No issue,3,90,21,8,160,52,2,50,61,8,120,62,4,100,87,5.0,125,38,3,75,69,720,0,90,160,50,120,100,125.0,75,720.0,0.0,2025-04,False,False,False,False,False,False,False,False,0,,False,Normal,720,33
R000113,2025-04-23,2025-04,Wednesday,CDMX-VM-001,GenkiClean Vending 7x100L,CDMX,Efectivo,40,870,880,10,33,26.36,100,20,False,0,Operational,12.6,False,,False,,No issue,3,90,97,9,180,43,3,75,58,10,150,52,5,125,82,6.0,150,32,4,100,65,870,0,90,180,75,150,125,150.0,100,870.0,0.0,2025-04,False,False,False,False,False,False,False,False,0,,False,Normal,870,40
R000114,2025-04-24,2025-04,Thursday,CDMX-VM-001,GenkiClean Vending 7x100L,CDMX,Efectivo,36,805,825,20,17,47.35,100,20,False,0,Operational,16.0,False,,False,,No issue,3,90,94,8,160,35,4,100,54,7,105,45,5,125,77,5.0,125,27,4,100,61,805,0,90,160,100,105,125,125.0,100,805.0,0.0,2025-04,False,False,False,False,False,False,False,False,0,,False,Normal,805,36
R000115,2025-04-25,2025-04,Friday,CDMX-VM-001,GenkiClean Vending 7x100L,CDMX,Efectivo,39,880,900,20,23,38.26,100,20,False,0,Operational,19.6,False,,False,,No issue,3,90,91,6,120,29,5,125,49,8,120,37,6,150,71,8.0,200,19,3,75,58,880,0,90,120,125,120,150,200.0,75,880.0,0.0,2025-04,False,False,False,False,False,False,False,False,0,,False,Normal,880,39
R000116,2025-04-26,2025-04,Saturday,CDMX-VM-001,GenkiClean Vending 7x100L,CDMX,Efectivo,44,995,1015,20,25,39.8,100,20,False,0,Operational,23.4,True,,False,,No issue,5,150,86,8,160,21,4,100,45,9,135,28,5,125,66,8.0,200,92,5,125,53,995,0,150,160,100,135,125,200.0,125,995.0,0.0,2025-04,False,False,False,False,False,False,False,False,0,,False,Normal,995,44
R000117,2025-04-27,2025-04,Sunday,CDMX-VM-001,GenkiClean Vending 7x100L,CDMX,Efectivo,41,910,920,10,20,45.5,100,20,False,0,Operational,30.3,True,,False,,No issue,4,120,82,9,180,91,4,100,41,9,135,91,5,125,61,7.0,175,85,3,75,50,910,0,120,180,100,135,125,175.0,75,910.0,0.0,2025-04,False,False,False,False,False,False,False,False,0,,False,Normal,910,41
R000118,2025-04-28,2025-04,Monday,CDMX-VM-001,GenkiClean Vending 7x100L,CDMX,Efectivo,31,700,705,5,25,28.0,100,20,False,0,Operational,11.9,False,,False,,No issue,3,90,79,6,120,85,4,100,37,6,90,85,4,100,57,5.0,125,80,3,75,47,700,0,90,120,100,90,100,125.0,75,700.0,0.0,2025-04,False,False,False,False,False,False,False,False,0,,False,Normal,700,31
R000119,2025-04-29,2025-04,Tuesday,CDMX-VM-001,GenkiClean Vending 7x100L,CDMX,Efectivo,27,595,595,0,14,42.5,100,20,False,0,Operational,28.4,False,,False,,No issue,2,60,77,6,120,79,3,75,34,6,90,79,4,100,53,4.0,100,76,2,50,45,595,0,60,120,75,90,100,100.0,50,595.0,0.0,2025-04,False,False,False,False,False,False,False,False,0,,False,Normal,595,27
R000120,2025-04-30,2025-04,Wednesday,CDMX-VM-001,GenkiClean Vending 7x100L,CDMX,Efectivo,41,915,915,0,18,50.83,100,20,False,0,Operational,25.5,False,,False,,No issue,5,150,72,9,180,70,4,100,30,9,135,70,5,125,48,5.0,125,71,4,100,41,915,0,150,180,100,135,125,125.0,100,915.0,0.0,2025-04,False,False,False,False,False,False,False,False,0,,False,Normal,915,41
R000121,2025-05-01,2025-05,Thursday,CDMX-VM-001,GenkiClean Vending 7x100L,CDMX,Efectivo,29,650,650,0,19,34.21,100,20,False,0,Operational,25.0,False,,False,,No issue,3,90,69,6,120,64,3,75,27,6,90,64,4,100,44,4.0,100,67,3,75,38,650,0,90,120,75,90,100,100.0,75,650.0,0.0,2025-05,False,False,False,False,False,False,False,False,0,,False,Normal,650,29
R000122,2025-05-02,2025-05,Friday,CDMX-VM-001,GenkiClean Vending 7x100L,CDMX,Efectivo,30,660,670,10,13,50.77,100,20,False,0,Operational,17.4,False,,False,,No issue,3,90,66,7,140,57,2,50,25,7,105,57,4,100,40,4.0,100,63,3,75,35,660,0,90,140,50,105,100,100.0,75,660.0,0.0,2025-05,False,False,False,False,False,False,False,False,0,,False,Normal,660,30
R000123,2025-05-03,2025-05,Saturday,CDMX-VM-001,GenkiClean Vending 7x100L,CDMX,Efectivo,42,920,940,20,27,34.07,100,20,False,0,Operational,23.0,True,,False,,No issue,4,120,62,10,200,47,4,100,21,10,150,47,6,150,34,5.0,125,58,3,75,32,920,0,120,200,100,150,150,125.0,75,920.0,0.0,2025-05,False,False,False,False,False,False,False,False,0,,False,Normal,920,42
R000124,2025-05-04,2025-05,Sunday,CDMX-VM-001,GenkiClean Vending 7x100L,CDMX,Efectivo,45,985,995,10,28,35.18,100,20,False,0,Operational,25.8,True,,False,,No issue,4,120,58,10,200,37,4,100,96,11,165,36,7,175,27,6.0,150,52,3,75,29,985,0,120,200,100,165,175,150.0,75,985.0,0.0,2025-05,False,False,False,False,False,False,False,False,0,,False,Normal,985,45
R000125,2025-05-05,2025-05,Monday,CDMX-VM-001,GenkiClean Vending 7x100L,CDMX,Efectivo,31,690,710,20,20,34.5,100,20,False,0,Operational,20.5,False,,False,,No issue,3,90,55,6,120,31,4,100,92,7,105,29,4,100,23,4.0,100,48,3,75,26,690,0,90,120,100,105,100,100.0,75,690.0,0.0,2025-05,False,False,False,False,False,False,False,False,0,,False,Normal,690,31
R000126,2025-05-06,2025-05,Tuesday,CDMX-VM-001,GenkiClean Vending 7x100L,CDMX,Efectivo,30,670,670,0,25,26.8,100,20,False,0,Operational,23.2,False,,False,,No issue,3,90,52,5,100,26,4,100,88,7,105,22,4,100,96,4.0,100,44,3,75,23,670,0,90,100,100,105,100,100.0,75,670.0,0.0,2025-05,False,False,False,False,False,False,False,False,0,,False,Normal,670,30
